series_id,source,source_key,title,description,unit,frequency,seasonal_adj,country,category,active
DEXUSEU,fred,DEXUSEU,EUR/USD Spot,Euro to US dollar daily spot exchange rate,USD per EUR,D,false,US,fx,true
DTWEXBGS,fred,DTWEXBGS,Broad USD Index,Nominal broad trade-weighted US dollar index,index,D,false,US,fx,true
DTWEXAFEGS,fred,DTWEXAFEGS,USD Advanced FX Index,Nominal advanced foreign economies US dollar index,Index Jan 2006=100,D,false,US,fx,true
RTWEXBGS,fred,RTWEXBGS,Real Broad USD Index,Real broad trade-weighted US dollar index,Index Jan 2006=100,M,false,US,fx,true
VIXCLS,fred,VIXCLS,CBOE VIX,CBOE Volatility Index (S&P 500 implied volatility),index,D,false,US,risk,true
FEDFUNDS,fred,FEDFUNDS,Effective Fed Funds Rate,Effective federal funds rate (monthly),percent,M,false,US,policy_rate,true
DFEDTARU,fred,DFEDTARU,Fed Funds Target Upper,Federal funds target range upper bound,percent,D,false,US,policy_rate,true
DFEDTARL,fred,DFEDTARL,Fed Funds Target Lower,Federal funds target range lower bound,percent,D,false,US,policy_rate,true
DFF,fred,DFF,Effective Fed Funds (daily),Daily effective federal funds rate,percent,D,false,US,policy_rate,true
SOFR,fred,SOFR,SOFR,Secured Overnight Financing Rate,percent,D,false,US,money,true
ECBDFR,fred,ECBDFR,ECB Deposit Facility Rate,ECB deposit facility rate (corridor floor),percent,D,false,EA,policy_rate,true
ECB_MRO,ecb,FM/B.U2.EUR.4F.KR.MRR_FR.LEV,ECB Main Refinancing Rate,ECB main refinancing operations fixed rate (corridor mid),percent,D,false,EA,policy_rate,true
ECB_MLF,ecb,FM/B.U2.EUR.4F.KR.MLFR.LEV,ECB Marginal Lending Rate,ECB marginal lending facility rate (corridor ceiling),percent,D,false,EA,policy_rate,true
DGS1MO,fred,DGS1MO,US 1M Treasury Yield,Market yield on US 1-month Treasury constant maturity,percent,D,false,US,yield,true
DGS1,fred,DGS1,US 1Y Treasury Yield,Market yield on US 1-year Treasury constant maturity,percent,D,false,US,yield,true
DGS2,fred,DGS2,US 2Y Treasury Yield,Market yield on US 2-year Treasury constant maturity,percent,D,false,US,yield,true
DGS5,fred,DGS5,US 5Y Treasury Yield,Market yield on US 5-year Treasury constant maturity,percent,D,false,US,yield,true
DGS10,fred,DGS10,US 10Y Treasury Yield,Market yield on US 10-year Treasury constant maturity,percent,D,false,US,yield,true
DGS30,fred,DGS30,US 30Y Treasury Yield,Market yield on US 30-year Treasury constant maturity,percent,D,false,US,yield,true
T10Y2Y,fred,T10Y2Y,US 10Y-2Y Spread,10-year minus 2-year Treasury constant maturity,percent,D,false,US,curve,true
T10Y3M,fred,T10Y3M,US 10Y-3M Spread,10-year minus 3-month Treasury constant maturity,percent,D,false,US,curve,true
